Time,Indoor Temperature,Indoor Humidity
0:00,19.48844666,69.032
0:15,19.9867,69.488
0:30,19.908,69.5893
0:45,19.8133,69.7573
1:00,19.7147,70.1147
1:15,19.6293,70.2133
1:30,19.56,70.1787
1:45,19.4613,70.6773
2:00,19.3813,70.616
2:15,19.332,70.7893
2:30,19.2767,71.0027
2:45,19.18,71.1627
3:00,19.12,71.456
3:15,19.0153,71.9413
3:30,18.942,71.856
3:45,18.8773,71.632
4:00,18.7753,71.5813
4:15,18.7467,71.5493
4:30,18.684,71.8587
4:45,18.6,71.864
5:00,18.5433,72.208
5:15,18.492,72.6667
5:30,18.4167,72.696
5:45,18.328,72.944
6:00,18.31,73.0427
6:15,18.2433,72.752
6:30,18.216,72.376
6:45,18.1647,72.0427
7:00,18.14,72.2373
7:15,18.11,71.992
7:30,18.1067,71.736
7:45,18.0867,71.4507
8:00,18.12,70.7787
8:15,18.1567,69.9867
8:30,18.2033,69.192
8:45,18.2907,68.7067
9:00,18.448,67.8
9:15,18.614,67.424
9:30,18.73,66.8533
9:45,18.8727,66.44
10:00,19.0807,65.7867
10:15,19.3387,63.5813
10:30,19.6147,56.296
10:45,19.8913,51.8613
11:00,20.2293,49.7947
11:15,20.626,42.7227
11:30,20.908,42.2667
11:45,21.0733,46.8373
12:00,21.3707,40.8613
12:15,21.7173,30.66
12:30,22.0427,30.5293
12:45,22.3547,28.6827
13:00,22.644,36.2267
13:15,22.88,34.7493
13:30,23.164,32.3253
13:45,23.408,26.6413
14:00,23.584,26.6653
14:15,23.8,30.0013
14:30,23.984,28.0707
14:45,24.124,29.568
15:00,24.2653,24.3973
15:15,24.3707,22.6593
15:30,24.4707,22.2607
15:45,24.536,22.788
16:00,24.6053,23.5467
16:15,24.6507,23.972
16:30,24.688,23.48
16:45,24.724,24.7907
17:00,24.732,25.6493
17:15,24.7347,26.2773
17:30,24.7347,25.892
17:45,24.7147,27.3747
18:00,24.684,27.5347
18:15,24.64,28.36
18:30,24.584,28.612
18:45,24.5093,29.812
19:00,24.4453,30.192
19:15,24.388,30.764
19:30,24.2933,31.4733
19:45,24.236,31.7333
20:00,24.1627,32.36
20:15,24.1067,33.056
20:30,24.024,34.824
20:45,23.9787,35.688
21:00,23.904,36.9173
21:15,23.816,37.9493
21:30,23.7293,38.7747
21:45,23.664,39.5813
22:00,23.5653,40.4187
22:15,23.5053,41.1867
22:30,23.408,41.7413
22:45,23.32,42.128
23:00,23.244,42.4133
23:15,23.1187,42.9947
23:30,23.056,43.3733
23:45,22.9427,43.4667
